CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PT,PVEM,MC,MORENA,PESM,MM,MICH1,TMX,CAND_IND7,CAND_IND8,PT_PVEM_MORENA,PT_PVEM,PT_MORENA,PVEM_MORENA,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1575,1,1,45,1,1,4,2,13,72,1,0,0,4,0,0,5,0,1,0,1,1,0,0,151,0,3,154,401
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1576,1,1,122,7,7,15,17,38,115,2,2,6,2,0,0,3,4,2,3,0,0,1,0,346,0,9,355,737
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1577,2,2,195,14,9,15,29,46,175,3,6,1,4,0,0,11,1,2,2,9,1,0,0,523,0,23,546,1180
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1578,1,1,104,13,8,13,9,9,61,0,1,0,0,0,0,6,3,0,3,6,3,1,0,240,0,13,253,556
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1579,1,1,154,9,5,8,9,8,70,0,1,2,3,0,0,4,0,0,2,8,3,0,0,286,0,14,300,657
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1580,2,2,89,14,4,14,17,13,178,4,0,2,7,0,0,9,0,0,0,5,0,0,0,356,0,8,364,864
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1581,1,1,45,3,1,7,10,10,55,1,1,1,1,0,0,4,2,3,3,2,1,0,0,150,0,4,154,297
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1582,1,1,92,9,1,4,6,6,46,1,1,0,0,0,0,4,0,0,2,0,2,0,0,174,0,5,179,304
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1583,5,5,399,50,13,59,69,89,538,9,13,18,5,0,0,22,16,3,7,35,3,3,0,1351,0,44,1395,3166
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1584,6,6,383,45,16,36,34,64,555,9,13,13,12,0,0,45,3,5,13,11,4,1,0,1262,0,46,1308,4235
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1585,1,1,62,8,1,3,6,8,67,1,1,0,0,0,0,1,1,0,2,6,1,1,0,169,0,13,182,397
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1586,2,2,68,7,8,10,10,10,128,1,6,0,0,0,0,10,1,2,8,1,2,0,0,272,0,3,275,922
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1587,3,3,104,28,8,15,25,16,207,3,10,0,5,0,0,11,2,3,3,3,1,1,0,445,0,22,467,1555
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1588,1,1,43,10,0,5,18,9,47,0,0,0,0,0,0,4,1,0,1,1,0,0,0,139,0,6,145,316
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1589,2,2,159,28,32,20,40,36,275,2,0,3,1,0,0,31,0,4,1,10,1,0,0,643,1,31,675,1484
5,16,MICHOACAN,1,LA PIEDAD,87,TANHUATO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
