ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,FXMV,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PVEM_PT_MORENA,PVEM_PT,PVEM_MORENA,PT_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
30,VERACRUZ,191,VEGA DE ALATORRE,21,34,34,683,558,77,1615,222,356,4742,142,40,14,4,3,148,13,133,25,8775,4,213,8992,15198,
30,VERACRUZ,197,YECUATLA,10,19,19,346,206,109,457,276,203,3043,114,38,5,3,0,113,25,37,17,4992,1,182,5175,8401,
30,VERACRUZ,11,ALTOTONGA,29,84,84,1295,3428,230,2603,691,3637,12162,568,187,80,9,27,513,69,245,63,25807,8,1209,27024,45775,
30,VERACRUZ,24,ATZALAN,34,81,81,1127,5040,165,946,669,1129,9911,458,246,112,3,9,465,79,147,69,20575,9,832,21416,36635,
30,VERACRUZ,88,JALACINGO,19,53,53,1522,1773,246,4345,436,1919,5090,469,166,53,4,25,266,81,194,27,16616,9,654,17279,30566,
30,VERACRUZ,108,LAS MINAS,2,4,4,87,492,56,43,37,81,407,16,21,8,0,2,11,5,4,1,1271,0,45,1316,2484,
30,VERACRUZ,129,PEROTE,31,93,93,2799,5700,276,1072,712,3767,14633,574,651,208,5,9,864,72,270,125,31737,17,1168,32922,55105,
30,VERACRUZ,137,LAS VIGAS DE RAMIREZ,8,23,23,633,846,92,512,339,970,4333,190,49,28,3,4,140,22,50,24,8235,4,268,8507,14578,
30,VERACRUZ,157,TATATILA,4,9,9,306,242,52,353,179,217,877,22,19,8,2,0,31,9,9,10,2336,0,132,2468,4242,
30,VERACRUZ,193,VILLA ALDAMA,5,16,16,336,572,79,202,135,622,2886,132,68,20,4,1,108,19,41,23,5248,1,198,5447,9010,
30,VERACRUZ,89,XALAPA,268,663,663,51027,33329,3441,8321,4065,23154,95326,7374,6270,1328,122,55,6459,349,1533,863,243016,221,7113,250350,394200,
30,VERACRUZ,1,ACAJETE,4,12,12,759,779,58,218,186,372,1771,76,58,37,2,0,65,18,22,9,4430,2,160,4592,7448,
30,VERACRUZ,26,AYAHUALULCO,8,29,29,497,2936,59,345,328,328,3878,245,215,98,10,6,241,53,58,42,9339,1,516,9856,16637,
