CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PNA,PES,FPM,CAND_IND1,PAN_PRI,PVEM_PT_MORENA,PVEM_PT,PVEM_MORENA,PT_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
5,6,COLIMA,4,COMALA,2,COMALA,101,4,4,177,309,0,66,39,135,267,0,23,9,75,22,29,9,13,1,1174,0,45,1219,1732
5,6,COLIMA,4,COMALA,2,COMALA,102,1,1,38,33,0,50,9,30,110,3,27,3,34,4,19,7,4,1,372,0,21,393,674
5,6,COLIMA,4,COMALA,2,COMALA,103,4,4,112,253,0,87,43,56,340,21,115,13,131,36,33,13,8,5,1266,1,55,1322,2022
5,6,COLIMA,4,COMALA,2,COMALA,104,3,3,146,206,0,88,41,57,328,25,131,16,169,28,25,8,9,5,1282,0,40,1322,2031
5,6,COLIMA,5,COQUIMATLAN,3,COQUIMATLAN,105,5,5,344,293,224,32,61,217,365,28,6,11,0,43,22,3,9,6,1664,0,54,1718,3170
5,6,COLIMA,5,COQUIMATLAN,3,COQUIMATLAN,106,3,3,255,161,117,21,33,132,219,16,6,15,0,21,17,2,3,4,1022,0,28,1050,1774
5,6,COLIMA,5,COQUIMATLAN,3,COQUIMATLAN,107,3,3,210,187,118,20,33,95,203,14,5,4,0,13,11,2,1,1,917,0,28,945,1588
5,6,COLIMA,5,COQUIMATLAN,3,COQUIMATLAN,108,2,2,180,85,101,11,20,136,122,20,1,8,0,17,10,3,0,1,715,0,29,744,1302
5,6,COLIMA,5,COQUIMATLAN,3,COQUIMATLAN,109,2,2,111,118,62,6,13,68,143,9,1,3,0,16,6,1,0,0,557,0,16,573,839
5,6,COLIMA,5,COQUIMATLAN,3,COQUIMATLAN,110,2,2,119,99,119,13,21,74,133,18,2,6,0,19,10,1,1,2,637,1,23,661,1097
5,6,COLIMA,5,COQUIMATLAN,3,COQUIMATLAN,111,4,4,286,215,218,30,55,166,322,10,8,19,0,27,19,3,6,3,1387,0,36,1423,2433
5,6,COLIMA,5,COQUIMATLAN,3,COQUIMATLAN,113,1,1,54,45,24,4,6,20,55,3,2,0,0,16,1,1,1,1,233,0,9,242,391
5,6,COLIMA,5,COQUIMATLAN,3,COQUIMATLAN,114,1,1,35,21,21,18,4,12,21,1,1,2,0,4,1,2,1,0,144,0,2,146,226
5,6,COLIMA,5,COQUIMATLAN,3,COQUIMATLAN,116,2,2,111,82,93,36,33,25,166,6,6,0,0,7,15,7,6,6,599,0,32,631,1399
5,6,COLIMA,5,COQUIMATLAN,3,COQUIMATLAN,117,2,2,74,113,161,35,24,31,157,24,10,7,0,8,16,3,7,5,675,0,49,724,850
5,6,COLIMA,5,COQUIMATLAN,3,COQUIMATLAN,118,1,1,61,67,42,9,19,20,139,5,3,1,0,3,9,4,0,1,383,0,15,398,714
