CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PES_BC,FXM_BC,PVEM_MORENA_FXM_BC,PVEM_MORENA,PVEM_FXM_BC,MORENA_FXM_BC,CAND_IND1,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
1,2,BAJA CALIFORNIA,16,ENSENADA,1,ENSENADA,105,3,3,276,64,9,31,28,59,312,150,65,0,0,0,0,0,994,4,44,1042,1689
1,2,BAJA CALIFORNIA,16,ENSENADA,1,ENSENADA,106,3,3,231,66,20,34,50,77,375,175,51,0,0,0,0,0,1079,10,65,1154,1953
1,2,BAJA CALIFORNIA,16,ENSENADA,1,ENSENADA,107,3,3,87,35,23,27,44,75,328,97,42,0,0,0,0,0,758,7,44,809,1578
1,2,BAJA CALIFORNIA,16,ENSENADA,1,ENSENADA,109,5,5,73,38,27,60,102,89,764,197,65,0,0,0,0,0,1415,6,84,1505,3522
1,2,BAJA CALIFORNIA,16,ENSENADA,1,ENSENADA,110,2,2,258,56,11,14,19,77,211,111,53,0,0,0,0,0,810,2,33,845,1285
1,2,BAJA CALIFORNIA,15,PLAYAS DE ROSARITO,1,ENSENADA,111,2,2,0,33,15,10,24,30,163,76,42,0,0,0,0,0,393,5,19,417,961
1,2,BAJA CALIFORNIA,15,PLAYAS DE ROSARITO,1,ENSENADA,112,2,2,0,28,11,11,15,35,179,68,32,0,0,0,0,0,379,6,21,406,879
1,2,BAJA CALIFORNIA,15,PLAYAS DE ROSARITO,1,ENSENADA,113,2,2,0,16,5,12,28,24,140,48,25,0,0,0,0,0,298,0,38,336,1230
1,2,BAJA CALIFORNIA,16,ENSENADA,1,ENSENADA,114,3,3,365,55,14,13,37,60,223,130,46,0,0,0,0,0,943,1,34,978,1561
1,2,BAJA CALIFORNIA,16,ENSENADA,1,ENSENADA,115,4,4,530,94,20,28,30,120,345,158,99,0,0,0,0,0,1424,5,53,1482,2265
1,2,BAJA CALIFORNIA,15,PLAYAS DE ROSARITO,1,ENSENADA,116,5,5,0,83,32,69,100,110,695,215,95,0,0,0,0,0,1399,9,79,1487,3324
1,2,BAJA CALIFORNIA,15,PLAYAS DE ROSARITO,1,ENSENADA,117,3,3,0,41,12,29,34,56,322,134,59,0,0,0,0,0,687,10,47,744,1670
1,2,BAJA CALIFORNIA,16,ENSENADA,1,ENSENADA,118,2,2,121,32,20,19,46,56,340,111,45,0,0,0,0,0,790,4,24,818,1468
1,2,BAJA CALIFORNIA,16,ENSENADA,1,ENSENADA,119,2,2,110,35,11,30,33,39,229,100,57,0,0,0,0,0,644,2,33,679,1235
1,2,BAJA CALIFORNIA,16,ENSENADA,1,ENSENADA,120,2,2,62,23,16,22,34,20,218,78,34,0,0,0,0,0,507,8,23,538,1058
1,2,BAJA CALIFORNIA,16,ENSENADA,1,ENSENADA,121,3,3,189,58,24,28,36,67,346,172,73,0,0,0,0,0,993,4,43,1040,1796
1,2,BAJA CALIFORNIA,17,ENSENADA,1,ENSENADA,122,1,1,54,22,13,15,10,20,136,21,21,0,0,0,0,0,312,0,13,325,735
1,2,BAJA CALIFORNIA,17,ENSENADA,1,ENSENADA,124,4,4,231,61,17,53,42,67,397,137,76,0,0,0,0,0,1081,3,58,1142,2391
1,2,BAJA CALIFORNIA,17,ENSENADA,1,ENSENADA,125,2,2,87,42,7,28,40,33,268,64,42,0,0,0,0,0,611,8,43,662,1370
